file_path,k,k-1,k-2,k-3
anna.col,0.0000,0.2028,0.4057,0.6085
david.col,0.0000,0.2463,0.7389,0.9852
fpsol2.i.1.col,0.0086,0.0172,0.0257,0.0343
fpsol2.i.2.col,0.0345,0.0575,0.0805,0.1036
fpsol2.i.3.col,0.0576,0.0460,0.0576,0.0921
games120.col,0.0000,0.3135,1.2539,2.5078
homer.col,0.0000,0.0614,0.1843,0.3686
huck.col,0.0000,0.3322,0.9967,1.9934
inithx.i.1.col,0.0160,0.0214,0.0267,0.0535
inithx.i.2.col,0.0644,0.0715,0.0644,0.0715
inithx.i.3.col,0.0716,0.0573,0.0931,0.0787
jean.col,0.0000,0.3937,0.7874,1.5748
le450_15a.col,0.6121,0.9549,1.3467,1.7997
le450_25a.col,0.0363,0.1695,0.2906,0.3995
le450_25b.col,0.0242,0.1573,0.2783,0.4115
le450_5c.col,0.2244,5.0597,10.7926,29.2053
le450_5d.col,0.0410,4.9400,10.9665,29.2200
miles1000.col,0.0622,0.0622,0.0933,0.1244
miles1500.col,0.0000,0.0192,0.0385,0.0577
miles250.col,0.0000,0.5168,1.0336,2.5840
miles500.col,0.0000,0.0855,0.1709,0.3419
miles750.col,0.0947,0.0947,0.1420,0.1893
mulsol.i.1.col,0.0000,0.0255,0.0510,0.0764
mulsol.i.2.col,0.0257,0.0515,0.1030,0.1544
mulsol.i.3.col,0.0000,0.0511,0.1021,0.1532
mulsol.i.4.col,0.0000,0.0507,0.1014,0.1521
mulsol.i.5.col,0.0000,0.0252,0.0755,0.1258
myciel3.col,0.0000,5.0000,20.0000,100.0000
myciel4.col,0.0000,1.4085,5.6338,23.9437
myciel5.col,0.0000,0.4237,1.6949,7.6271
myciel6.col,0.0000,0.1325,0.6623,2.6490
queen5_5.col,0.0000,7.5000,18.1250,37.5000
queen6_6.col,0.6897,2.0690,4.8276,11.0345
queen7_7.col,0.0000,3.9916,7.5630,12.6050
queen8_12.col,0.1462,0.6579,1.4620,2.3392
queen8_8.col,0.6868,1.3736,3.2967,5.9066
queen9_9.col,0.5682,0.7576,2.8409,4.6402
school1.col,0.0000,0.6651,1.4402,2.2362
school1_nsh.col,0.0274,0.5543,1.2866,1.9915
zeroin.i.1.col,0.0244,0.0488,0.0732,0.0732
zeroin.i.2.col,0.0565,0.0565,0.0565,0.0847
zeroin.i.3.col,0.0282,0.0565,0.0847,0.1130
